file name,mask name,mask number,class
Small_images_Masks\218-5_part_24.png,Small_images_Masks\218-5_part_24_seg.npy,749,1
Small_images_Masks\218-6_part_7.png,Small_images_Masks\218-6_part_7_seg.npy,825,1
Small_images_Masks\218-4_part_19.png,Small_images_Masks\218-4_part_19_seg.npy,280,0
Small_images_Masks\238-6_part_3.png,Small_images_Masks\238-6_part_3_seg.npy,111,1
Small_images_Masks\259-1_part_21.png,Small_images_Masks\259-1_part_21_seg.npy,84,0
Small_images_Masks\218-4_part_11.png,Small_images_Masks\218-4_part_11_seg.npy,378,0
Small_images_Masks\238-1_part_23.png,Small_images_Masks\238-1_part_23_seg.npy,261,1
Small_images_Masks\218-5_part_9.png,Small_images_Masks\218-5_part_9_seg.npy,27,1
Small_images_Masks\218-6_part_20.png,Small_images_Masks\218-6_part_20_seg.npy,492,0
Small_images_Masks\218-4_part_23.png,Small_images_Masks\218-4_part_23_seg.npy,97,1
Small_images_Masks\218-5_part_12.png,Small_images_Masks\218-5_part_12_seg.npy,211,1
Small_images_Masks\218-5_part_11.png,Small_images_Masks\218-5_part_11_seg.npy,565,0
Small_images_Masks\218-5_part_16.png,Small_images_Masks\218-5_part_16_seg.npy,470,0
Small_images_Masks\218-4_part_14.png,Small_images_Masks\218-4_part_14_seg.npy,24,1
Small_images_Masks\218-6_part_7.png,Small_images_Masks\218-6_part_7_seg.npy,374,0
Small_images_Masks\218-5_part_15.png,Small_images_Masks\218-5_part_15_seg.npy,66,1
Small_images_Masks\218-4_part_10.png,Small_images_Masks\218-4_part_10_seg.npy,165,0
Small_images_Masks\259-1_part_10.png,Small_images_Masks\259-1_part_10_seg.npy,459,0
Small_images_Masks\238-2_part_16.png,Small_images_Masks\238-2_part_16_seg.npy,273,0
Small_images_Masks\218-4_part_13.png,Small_images_Masks\218-4_part_13_seg.npy,389,1
Small_images_Masks\218-4_part_24.png,Small_images_Masks\218-4_part_24_seg.npy,452,0
Small_images_Masks\218-6_part_22.png,Small_images_Masks\218-6_part_22_seg.npy,614,1
Small_images_Masks\218-6_part_9.png,Small_images_Masks\218-6_part_9_seg.npy,255,1
Small_images_Masks\238-3_part_16.png,Small_images_Masks\238-3_part_16_seg.npy,373,0
Small_images_Masks\238-1_part_6.png,Small_images_Masks\238-1_part_6_seg.npy,405,0
Small_images_Masks\218-4_part_22.png,Small_images_Masks\218-4_part_22_seg.npy,863,0
Small_images_Masks\238-2_part_13.png,Small_images_Masks\238-2_part_13_seg.npy,66,1
Small_images_Masks\218-6_part_1.png,Small_images_Masks\218-6_part_1_seg.npy,328,0
Small_images_Masks\238-3_part_20.png,Small_images_Masks\238-3_part_20_seg.npy,263,0
Small_images_Masks\218-6_part_4.png,Small_images_Masks\218-6_part_4_seg.npy,56,0
Small_images_Masks\218-4_part_21.png,Small_images_Masks\218-4_part_21_seg.npy,909,1
Small_images_Masks\218-5_part_25.png,Small_images_Masks\218-5_part_25_seg.npy,163,1
Small_images_Masks\218-6_part_13.png,Small_images_Masks\218-6_part_13_seg.npy,374,1
Small_images_Masks\238-4_part_6.png,Small_images_Masks\238-4_part_6_seg.npy,111,0
Small_images_Masks\218-6_part_11.png,Small_images_Masks\218-6_part_11_seg.npy,27,0
Small_images_Masks\218-6_part_11.png,Small_images_Masks\218-6_part_11_seg.npy,273,1
Small_images_Masks\238-6_part_7.png,Small_images_Masks\238-6_part_7_seg.npy,35,0
Small_images_Masks\218-6_part_7.png,Small_images_Masks\218-6_part_7_seg.npy,35,1
Small_images_Masks\218-5_part_15.png,Small_images_Masks\218-5_part_15_seg.npy,82,0
Small_images_Masks\238-1_part_21.png,Small_images_Masks\238-1_part_21_seg.npy,71,1
Small_images_Masks\218-6_part_6.png,Small_images_Masks\218-6_part_6_seg.npy,457,1
Small_images_Masks\218-6_part_22.png,Small_images_Masks\218-6_part_22_seg.npy,493,0
Small_images_Masks\218-5_part_25.png,Small_images_Masks\218-5_part_25_seg.npy,359,0
Small_images_Masks\218-5_part_7.png,Small_images_Masks\218-5_part_7_seg.npy,553,1
Small_images_Masks\218-6_part_8.png,Small_images_Masks\218-6_part_8_seg.npy,131,0
Small_images_Masks\218-4_part_22.png,Small_images_Masks\218-4_part_22_seg.npy,465,0
Small_images_Masks\218-6_part_1.png,Small_images_Masks\218-6_part_1_seg.npy,103,1
Small_images_Masks\218-5_part_20.png,Small_images_Masks\218-5_part_20_seg.npy,7,1
Small_images_Masks\218-6_part_24.png,Small_images_Masks\218-6_part_24_seg.npy,385,1
Small_images_Masks\238-5_part_21.png,Small_images_Masks\238-5_part_21_seg.npy,82,0
Small_images_Masks\218-6_part_24.png,Small_images_Masks\218-6_part_24_seg.npy,67,0
Small_images_Masks\259-1_part_18.png,Small_images_Masks\259-1_part_18_seg.npy,83,0
Small_images_Masks\249-1_part_14.png,Small_images_Masks\249-1_part_14_seg.npy,131,0
Small_images_Masks\218-4_part_9.png,Small_images_Masks\218-4_part_9_seg.npy,463,1
Small_images_Masks\218-6_part_10.png,Small_images_Masks\218-6_part_10_seg.npy,770,1
Small_images_Masks\238-4_part_19.png,Small_images_Masks\238-4_part_19_seg.npy,234,1
Small_images_Masks\238-6_part_2.png,Small_images_Masks\238-6_part_2_seg.npy,44,0
Small_images_Masks\238-3_part_3.png,Small_images_Masks\238-3_part_3_seg.npy,59,1
Small_images_Masks\238-6_part_9.png,Small_images_Masks\238-6_part_9_seg.npy,2,1
Small_images_Masks\238-4_part_7.png,Small_images_Masks\238-4_part_7_seg.npy,218,1
Small_images_Masks\249-1_part_11.png,Small_images_Masks\249-1_part_11_seg.npy,83,0
Small_images_Masks\238-4_part_4.png,Small_images_Masks\238-4_part_4_seg.npy,131,1
Small_images_Masks\238-4_part_7.png,Small_images_Masks\238-4_part_7_seg.npy,214,0
Small_images_Masks\238-2_part_2.png,Small_images_Masks\238-2_part_2_seg.npy,361,1
Small_images_Masks\218-6_part_13.png,Small_images_Masks\218-6_part_13_seg.npy,662,1
Small_images_Masks\238-6_part_12.png,Small_images_Masks\238-6_part_12_seg.npy,51,0
Small_images_Masks\218-5_part_16.png,Small_images_Masks\218-5_part_16_seg.npy,740,1
Small_images_Masks\238-4_part_13.png,Small_images_Masks\238-4_part_13_seg.npy,85,0
Small_images_Masks\218-4_part_18.png,Small_images_Masks\218-4_part_18_seg.npy,338,1
Small_images_Masks\218-4_part_9.png,Small_images_Masks\218-4_part_9_seg.npy,377,0
Small_images_Masks\249-2_part_9.png,Small_images_Masks\249-2_part_9_seg.npy,166,0
Small_images_Masks\218-6_part_1.png,Small_images_Masks\218-6_part_1_seg.npy,562,1
Small_images_Masks\218-5_part_23.png,Small_images_Masks\218-5_part_23_seg.npy,299,0
Small_images_Masks\218-5_part_11.png,Small_images_Masks\218-5_part_11_seg.npy,674,1
Small_images_Masks\218-5_part_25.png,Small_images_Masks\218-5_part_25_seg.npy,591,0
Small_images_Masks\218-6_part_3.png,Small_images_Masks\218-6_part_3_seg.npy,454,0
Small_images_Masks\238-1_part_3.png,Small_images_Masks\238-1_part_3_seg.npy,398,1
Small_images_Masks\238-6_part_19.png,Small_images_Masks\238-6_part_19_seg.npy,248,1
Small_images_Masks\218-4_part_10.png,Small_images_Masks\218-4_part_10_seg.npy,108,1
Small_images_Masks\218-6_part_4.png,Small_images_Masks\218-6_part_4_seg.npy,207,1
Small_images_Masks\238-2_part_4.png,Small_images_Masks\238-2_part_4_seg.npy,12,1
Small_images_Masks\238-4_part_19.png,Small_images_Masks\238-4_part_19_seg.npy,155,1
Small_images_Masks\218-5_part_21.png,Small_images_Masks\218-5_part_21_seg.npy,615,1
Small_images_Masks\259-1_part_4.png,Small_images_Masks\259-1_part_4_seg.npy,146,0
Small_images_Masks\218-6_part_8.png,Small_images_Masks\218-6_part_8_seg.npy,720,1
Small_images_Masks\218-4_part_13.png,Small_images_Masks\218-4_part_13_seg.npy,590,1
Small_images_Masks\218-6_part_10.png,Small_images_Masks\218-6_part_10_seg.npy,378,1
Small_images_Masks\218-5_part_6.png,Small_images_Masks\218-5_part_6_seg.npy,302,1
Small_images_Masks\218-6_part_1.png,Small_images_Masks\218-6_part_1_seg.npy,361,1
Small_images_Masks\238-6_part_25.png,Small_images_Masks\238-6_part_25_seg.npy,238,1
Small_images_Masks\238-1_part_2.png,Small_images_Masks\238-1_part_2_seg.npy,250,0
Small_images_Masks\259-1_part_19.png,Small_images_Masks\259-1_part_19_seg.npy,266,0
Small_images_Masks\218-4_part_8.png,Small_images_Masks\218-4_part_8_seg.npy,141,1
Small_images_Masks\218-5_part_6.png,Small_images_Masks\218-5_part_6_seg.npy,587,0
Small_images_Masks\218-6_part_15.png,Small_images_Masks\218-6_part_15_seg.npy,124,0
Small_images_Masks\218-4_part_17.png,Small_images_Masks\218-4_part_17_seg.npy,376,0
Small_images_Masks\218-5_part_11.png,Small_images_Masks\218-5_part_11_seg.npy,731,1
Small_images_Masks\218-6_part_2.png,Small_images_Masks\218-6_part_2_seg.npy,414,1
Small_images_Masks\259-1_part_10.png,Small_images_Masks\259-1_part_10_seg.npy,296,0
Small_images_Masks\218-6_part_7.png,Small_images_Masks\218-6_part_7_seg.npy,945,1
Small_images_Masks\218-6_part_17.png,Small_images_Masks\218-6_part_17_seg.npy,247,1
Small_images_Masks\238-2_part_2.png,Small_images_Masks\238-2_part_2_seg.npy,166,0
Small_images_Masks\238-4_part_12.png,Small_images_Masks\238-4_part_12_seg.npy,16,1
Small_images_Masks\218-6_part_20.png,Small_images_Masks\218-6_part_20_seg.npy,497,0
Small_images_Masks\238-1_part_15.png,Small_images_Masks\238-1_part_15_seg.npy,127,0
Small_images_Masks\249-3_part_18.png,Small_images_Masks\249-3_part_18_seg.npy,142,0
Small_images_Masks\259-1_part_6.png,Small_images_Masks\259-1_part_6_seg.npy,60,0
Small_images_Masks\238-6_part_1.png,Small_images_Masks\238-6_part_1_seg.npy,162,1
Small_images_Masks\218-5_part_8.png,Small_images_Masks\218-5_part_8_seg.npy,495,0
Small_images_Masks\249-4_part_3.png,Small_images_Masks\249-4_part_3_seg.npy,90,0
Small_images_Masks\238-6_part_17.png,Small_images_Masks\238-6_part_17_seg.npy,329,1
Small_images_Masks\218-5_part_11.png,Small_images_Masks\218-5_part_11_seg.npy,885,0
Small_images_Masks\218-4_part_5.png,Small_images_Masks\218-4_part_5_seg.npy,164,0
Small_images_Masks\218-4_part_25.png,Small_images_Masks\218-4_part_25_seg.npy,67,1
Small_images_Masks\218-6_part_6.png,Small_images_Masks\218-6_part_6_seg.npy,781,1
Small_images_Masks\238-2_part_4.png,Small_images_Masks\238-2_part_4_seg.npy,294,1
Small_images_Masks\238-3_part_22.png,Small_images_Masks\238-3_part_22_seg.npy,327,1
Small_images_Masks\238-6_part_11.png,Small_images_Masks\238-6_part_11_seg.npy,299,0
Small_images_Masks\218-6_part_5.png,Small_images_Masks\218-6_part_5_seg.npy,318,1
Small_images_Masks\218-5_part_6.png,Small_images_Masks\218-5_part_6_seg.npy,561,0
Small_images_Masks\218-4_part_10.png,Small_images_Masks\218-4_part_10_seg.npy,160,1
Small_images_Masks\238-1_part_20.png,Small_images_Masks\238-1_part_20_seg.npy,157,1
Small_images_Masks\259-1_part_21.png,Small_images_Masks\259-1_part_21_seg.npy,158,0
Small_images_Masks\238-4_part_2.png,Small_images_Masks\238-4_part_2_seg.npy,49,1
Small_images_Masks\218-6_part_2.png,Small_images_Masks\218-6_part_2_seg.npy,53,1
Small_images_Masks\218-6_part_9.png,Small_images_Masks\218-6_part_9_seg.npy,197,1
Small_images_Masks\238-6_part_6.png,Small_images_Masks\238-6_part_6_seg.npy,385,1
Small_images_Masks\218-4_part_22.png,Small_images_Masks\218-4_part_22_seg.npy,532,1
Small_images_Masks\259-1_part_2.png,Small_images_Masks\259-1_part_2_seg.npy,293,0
Small_images_Masks\218-6_part_21.png,Small_images_Masks\218-6_part_21_seg.npy,32,0
Small_images_Masks\238-2_part_14.png,Small_images_Masks\238-2_part_14_seg.npy,16,0
Small_images_Masks\238-2_part_12.png,Small_images_Masks\238-2_part_12_seg.npy,55,0
Small_images_Masks\218-5_part_16.png,Small_images_Masks\218-5_part_16_seg.npy,638,0
Small_images_Masks\238-2_part_8.png,Small_images_Masks\238-2_part_8_seg.npy,146,1
Small_images_Masks\218-4_part_18.png,Small_images_Masks\218-4_part_18_seg.npy,332,1
Small_images_Masks\238-1_part_4.png,Small_images_Masks\238-1_part_4_seg.npy,153,0
Small_images_Masks\238-2_part_12.png,Small_images_Masks\238-2_part_12_seg.npy,378,1
Small_images_Masks\238-3_part_7.png,Small_images_Masks\238-3_part_7_seg.npy,200,0
Small_images_Masks\238-2_part_4.png,Small_images_Masks\238-2_part_4_seg.npy,244,0
Small_images_Masks\238-6_part_4.png,Small_images_Masks\238-6_part_4_seg.npy,336,0
Small_images_Masks\218-6_part_15.png,Small_images_Masks\218-6_part_15_seg.npy,542,1
Small_images_Masks\218-4_part_21.png,Small_images_Masks\218-4_part_21_seg.npy,861,1
Small_images_Masks\218-5_part_23.png,Small_images_Masks\218-5_part_23_seg.npy,611,1
Small_images_Masks\218-6_part_8.png,Small_images_Masks\218-6_part_8_seg.npy,934,1
Small_images_Masks\238-4_part_19.png,Small_images_Masks\238-4_part_19_seg.npy,6,1
Small_images_Masks\218-6_part_9.png,Small_images_Masks\218-6_part_9_seg.npy,803,0
Small_images_Masks\218-6_part_12.png,Small_images_Masks\218-6_part_12_seg.npy,251,1
Small_images_Masks\238-2_part_17.png,Small_images_Masks\238-2_part_17_seg.npy,438,1
Small_images_Masks\218-6_part_3.png,Small_images_Masks\218-6_part_3_seg.npy,736,1
Small_images_Masks\218-4_part_17.png,Small_images_Masks\218-4_part_17_seg.npy,673,1
Small_images_Masks\259-1_part_7.png,Small_images_Masks\259-1_part_7_seg.npy,81,0
Small_images_Masks\218-6_part_13.png,Small_images_Masks\218-6_part_13_seg.npy,279,1
Small_images_Masks\218-5_part_8.png,Small_images_Masks\218-5_part_8_seg.npy,936,1
Small_images_Masks\238-1_part_19.png,Small_images_Masks\238-1_part_19_seg.npy,60,0
Small_images_Masks\218-5_part_12.png,Small_images_Masks\218-5_part_12_seg.npy,103,1
Small_images_Masks\238-4_part_4.png,Small_images_Masks\238-4_part_4_seg.npy,251,1
Small_images_Masks\238-1_part_24.png,Small_images_Masks\238-1_part_24_seg.npy,467,0
Small_images_Masks\238-1_part_13.png,Small_images_Masks\238-1_part_13_seg.npy,371,0
Small_images_Masks\249-2_part_17.png,Small_images_Masks\249-2_part_17_seg.npy,124,0
Small_images_Masks\238-6_part_17.png,Small_images_Masks\238-6_part_17_seg.npy,128,0
Small_images_Masks\259-1_part_15.png,Small_images_Masks\259-1_part_15_seg.npy,89,1
Small_images_Masks\238-1_part_9.png,Small_images_Masks\238-1_part_9_seg.npy,151,0
Small_images_Masks\249-2_part_24.png,Small_images_Masks\249-2_part_24_seg.npy,43,0
Small_images_Masks\218-5_part_16.png,Small_images_Masks\218-5_part_16_seg.npy,152,1
Small_images_Masks\238-1_part_16.png,Small_images_Masks\238-1_part_16_seg.npy,334,0
Small_images_Masks\238-2_part_2.png,Small_images_Masks\238-2_part_2_seg.npy,273,0
Small_images_Masks\249-1_part_16.png,Small_images_Masks\249-1_part_16_seg.npy,43,0
Small_images_Masks\259-1_part_17.png,Small_images_Masks\259-1_part_17_seg.npy,65,0
Small_images_Masks\218-4_part_23.png,Small_images_Masks\218-4_part_23_seg.npy,670,1
Small_images_Masks\218-4_part_18.png,Small_images_Masks\218-4_part_18_seg.npy,534,0
Small_images_Masks\238-1_part_5.png,Small_images_Masks\238-1_part_5_seg.npy,106,0
Small_images_Masks\238-2_part_11.png,Small_images_Masks\238-2_part_11_seg.npy,232,0
Small_images_Masks\238-3_part_17.png,Small_images_Masks\238-3_part_17_seg.npy,80,0
Small_images_Masks\249-3_part_11.png,Small_images_Masks\249-3_part_11_seg.npy,4,0
Small_images_Masks\218-5_part_8.png,Small_images_Masks\218-5_part_8_seg.npy,320,1
Small_images_Masks\218-6_part_16.png,Small_images_Masks\218-6_part_16_seg.npy,27,1
Small_images_Masks\218-5_part_12.png,Small_images_Masks\218-5_part_12_seg.npy,66,1
Small_images_Masks\238-3_part_7.png,Small_images_Masks\238-3_part_7_seg.npy,157,0
Small_images_Masks\259-1_part_19.png,Small_images_Masks\259-1_part_19_seg.npy,376,0
Small_images_Masks\218-5_part_17.png,Small_images_Masks\218-5_part_17_seg.npy,272,1
Small_images_Masks\218-6_part_24.png,Small_images_Masks\218-6_part_24_seg.npy,106,1
Small_images_Masks\238-2_part_16.png,Small_images_Masks\238-2_part_16_seg.npy,371,0
Small_images_Masks\218-4_part_18.png,Small_images_Masks\218-4_part_18_seg.npy,365,1
Small_images_Masks\218-6_part_12.png,Small_images_Masks\218-6_part_12_seg.npy,557,0
Small_images_Masks\218-6_part_5.png,Small_images_Masks\218-6_part_5_seg.npy,755,1
Small_images_Masks\218-4_part_20.png,Small_images_Masks\218-4_part_20_seg.npy,267,1
Small_images_Masks\238-2_part_3.png,Small_images_Masks\238-2_part_3_seg.npy,68,0
Small_images_Masks\238-2_part_21.png,Small_images_Masks\238-2_part_21_seg.npy,33,0
Small_images_Masks\218-4_part_22.png,Small_images_Masks\218-4_part_22_seg.npy,48,1
Small_images_Masks\238-6_part_19.png,Small_images_Masks\238-6_part_19_seg.npy,124,1
Small_images_Masks\218-4_part_17.png,Small_images_Masks\218-4_part_17_seg.npy,89,1
Small_images_Masks\218-4_part_23.png,Small_images_Masks\218-4_part_23_seg.npy,31,1
Small_images_Masks\218-5_part_18.png,Small_images_Masks\218-5_part_18_seg.npy,442,0
Small_images_Masks\218-5_part_1.png,Small_images_Masks\218-5_part_1_seg.npy,303,1
Small_images_Masks\218-5_part_23.png,Small_images_Masks\218-5_part_23_seg.npy,533,1
Small_images_Masks\218-5_part_18.png,Small_images_Masks\218-5_part_18_seg.npy,218,0
Small_images_Masks\238-4_part_21.png,Small_images_Masks\238-4_part_21_seg.npy,80,0
Small_images_Masks\218-5_part_17.png,Small_images_Masks\218-5_part_17_seg.npy,687,1
Small_images_Masks\218-5_part_22.png,Small_images_Masks\218-5_part_22_seg.npy,35,1
Small_images_Masks\238-3_part_4.png,Small_images_Masks\238-3_part_4_seg.npy,521,0
Small_images_Masks\218-5_part_1.png,Small_images_Masks\218-5_part_1_seg.npy,180,0
Small_images_Masks\238-1_part_10.png,Small_images_Masks\238-1_part_10_seg.npy,90,0
Small_images_Masks\218-5_part_11.png,Small_images_Masks\218-5_part_11_seg.npy,285,1
Small_images_Masks\218-4_part_8.png,Small_images_Masks\218-4_part_8_seg.npy,482,1
Small_images_Masks\218-4_part_16.png,Small_images_Masks\218-4_part_16_seg.npy,575,0
Small_images_Masks\259-1_part_16.png,Small_images_Masks\259-1_part_16_seg.npy,61,0
Small_images_Masks\218-6_part_8.png,Small_images_Masks\218-6_part_8_seg.npy,520,1
Small_images_Masks\218-5_part_9.png,Small_images_Masks\218-5_part_9_seg.npy,248,0
Small_images_Masks\238-1_part_7.png,Small_images_Masks\238-1_part_7_seg.npy,285,0
Small_images_Masks\218-4_part_22.png,Small_images_Masks\218-4_part_22_seg.npy,491,1
Small_images_Masks\218-6_part_4.png,Small_images_Masks\218-6_part_4_seg.npy,710,1
Small_images_Masks\218-4_part_12.png,Small_images_Masks\218-4_part_12_seg.npy,212,1
Small_images_Masks\218-4_part_18.png,Small_images_Masks\218-4_part_18_seg.npy,350,1
Small_images_Masks\238-2_part_10.png,Small_images_Masks\238-2_part_10_seg.npy,245,1
Small_images_Masks\218-4_part_16.png,Small_images_Masks\218-4_part_16_seg.npy,158,0
Small_images_Masks\218-6_part_8.png,Small_images_Masks\218-6_part_8_seg.npy,717,1
Small_images_Masks\218-5_part_13.png,Small_images_Masks\218-5_part_13_seg.npy,458,0
Small_images_Masks\259-1_part_8.png,Small_images_Masks\259-1_part_8_seg.npy,165,1
Small_images_Masks\218-5_part_5.png,Small_images_Masks\218-5_part_5_seg.npy,156,0
Small_images_Masks\249-1_part_11.png,Small_images_Masks\249-1_part_11_seg.npy,240,1
Small_images_Masks\218-4_part_11.png,Small_images_Masks\218-4_part_11_seg.npy,143,1
Small_images_Masks\238-3_part_21.png,Small_images_Masks\238-3_part_21_seg.npy,189,0
Small_images_Masks\218-6_part_9.png,Small_images_Masks\218-6_part_9_seg.npy,793,0
Small_images_Masks\218-6_part_20.png,Small_images_Masks\218-6_part_20_seg.npy,440,1
Small_images_Masks\238-3_part_13.png,Small_images_Masks\238-3_part_13_seg.npy,64,0
Small_images_Masks\218-4_part_9.png,Small_images_Masks\218-4_part_9_seg.npy,245,0
Small_images_Masks\218-5_part_8.png,Small_images_Masks\218-5_part_8_seg.npy,942,1
Small_images_Masks\218-5_part_11.png,Small_images_Masks\218-5_part_11_seg.npy,943,0
Small_images_Masks\218-5_part_22.png,Small_images_Masks\218-5_part_22_seg.npy,414,0
Small_images_Masks\218-6_part_11.png,Small_images_Masks\218-6_part_11_seg.npy,656,1
Small_images_Masks\218-4_part_20.png,Small_images_Masks\218-4_part_20_seg.npy,13,1
Small_images_Masks\259-1_part_20.png,Small_images_Masks\259-1_part_20_seg.npy,265,1
Small_images_Masks\218-4_part_17.png,Small_images_Masks\218-4_part_17_seg.npy,361,0
Small_images_Masks\249-2_part_3.png,Small_images_Masks\249-2_part_3_seg.npy,45,0
Small_images_Masks\218-5_part_2.png,Small_images_Masks\218-5_part_2_seg.npy,293,0
Small_images_Masks\238-1_part_6.png,Small_images_Masks\238-1_part_6_seg.npy,124,0
Small_images_Masks\238-2_part_15.png,Small_images_Masks\238-2_part_15_seg.npy,123,0
Small_images_Masks\218-5_part_6.png,Small_images_Masks\218-5_part_6_seg.npy,450,1
Small_images_Masks\218-6_part_14.png,Small_images_Masks\218-6_part_14_seg.npy,186,1
Small_images_Masks\238-2_part_1.png,Small_images_Masks\238-2_part_1_seg.npy,269,0
Small_images_Masks\238-1_part_1.png,Small_images_Masks\238-1_part_1_seg.npy,92,0
Small_images_Masks\218-6_part_4.png,Small_images_Masks\218-6_part_4_seg.npy,454,1
Small_images_Masks\218-6_part_6.png,Small_images_Masks\218-6_part_6_seg.npy,644,0
Small_images_Masks\238-1_part_20.png,Small_images_Masks\238-1_part_20_seg.npy,80,0
Small_images_Masks\238-4_part_5.png,Small_images_Masks\238-4_part_5_seg.npy,157,0
Small_images_Masks\238-2_part_13.png,Small_images_Masks\238-2_part_13_seg.npy,173,1
Small_images_Masks\218-4_part_23.png,Small_images_Masks\218-4_part_23_seg.npy,358,1
Small_images_Masks\249-1_part_17.png,Small_images_Masks\249-1_part_17_seg.npy,83,0
Small_images_Masks\218-5_part_16.png,Small_images_Masks\218-5_part_16_seg.npy,172,1
Small_images_Masks\218-4_part_13.png,Small_images_Masks\218-4_part_13_seg.npy,957,1
Small_images_Masks\218-4_part_23.png,Small_images_Masks\218-4_part_23_seg.npy,279,1
Small_images_Masks\238-6_part_10.png,Small_images_Masks\238-6_part_10_seg.npy,42,0
Small_images_Masks\218-4_part_24.png,Small_images_Masks\218-4_part_24_seg.npy,521,1
Small_images_Masks\238-3_part_11.png,Small_images_Masks\238-3_part_11_seg.npy,563,0
Small_images_Masks\259-1_part_7.png,Small_images_Masks\259-1_part_7_seg.npy,348,1
Small_images_Masks\259-1_part_9.png,Small_images_Masks\259-1_part_9_seg.npy,210,0
Small_images_Masks\259-1_part_11.png,Small_images_Masks\259-1_part_11_seg.npy,328,0
Small_images_Masks\249-1_part_21.png,Small_images_Masks\249-1_part_21_seg.npy,48,0
Small_images_Masks\218-4_part_18.png,Small_images_Masks\218-4_part_18_seg.npy,74,1
Small_images_Masks\218-4_part_16.png,Small_images_Masks\218-4_part_16_seg.npy,777,0
Small_images_Masks\218-4_part_3.png,Small_images_Masks\218-4_part_3_seg.npy,421,0
Small_images_Masks\218-4_part_24.png,Small_images_Masks\218-4_part_24_seg.npy,102,1
